Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D4,H2,WW3,SW2,VW3,ShW3,R3
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW2,VW3,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R3
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D2,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW2,VW2,ShW2,R3
F,L3,D4,H2,WW3,SW2,VW2,ShW3,R3
M,L3,D4,H2,WW2,SW2,VW2,ShW3,R3
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW3,SW2,VW3,ShW3,R3
M,L3,D4,H2,WW2,SW2,VW2,ShW3,R3
F,L3,D4,H2,WW3,SW2,VW2,ShW3,R4
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW2,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW3,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R4
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
I,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
I,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R1
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
F,L3,D4,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D4,H2,WW2,SW1,VW1,ShW2,R2
I,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
I,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
I,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
I,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW3,R3
I,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
F,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
I,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
I,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
I,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW3,R3
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
I,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D4,H2,WW3,SW2,VW3,ShW3,R3
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L3,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L3,D2,H2,WW1,SW1,VW1,ShW1,R3
I,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
F,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW3,SW2,VW2,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
I,L3,D4,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
I,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
I,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
I,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R3
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
F,L3,D3,H1,WW1,SW1,VW1,ShW1,R3
I,L3,D3,H1,WW1,SW1,VW1,ShW1,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
F,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW1,ShW2,R3
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
I,L3,D4,H2,WW2,SW2,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW1,ShW2,R2
I,L3,D4,H2,WW3,SW2,VW3,ShW3,R3
I,L3,D4,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R4
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R4
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R3
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R3
F,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW2,ShW3,R3
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW2,ShW1,R3
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW3,SW2,VW3,ShW3,R3
M,L3,D3,H2,WW1,SW1,VW2,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D4,H2,WW3,SW2,VW3,ShW2,R3
F,L3,D3,H1,WW1,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW3,SW2,VW2,ShW3,R3
M,L3,D4,H2,WW3,SW2,VW3,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW3,SW2,VW3,ShW3,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
I,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW2,ShW1,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
M,L3,D3,H2,WW1,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW2,ShW1,R2
M,L3,D2,H2,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R3
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW2,R3
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H2,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
I,L3,D3,H1,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW1,SW1,VW1,ShW1,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D3,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
M,L3,D3,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW1,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW1,ShW2,R2
M,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW3,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW2,VW3,ShW2,R2
M,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW1,VW1,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW1,VW2,ShW2,R3
M,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW3,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW3,SW2,VW3,ShW2,R2
M,L3,D4,H2,WW3,SW2,VW2,ShW2,R2
M,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
M,L3,D4,H2,WW3,SW3,VW3,ShW3,R3
M,L3,D4,H2,WW2,SW2,VW2,ShW3,R3
M,L3,D4,H2,WW3,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW2,SW2,VW2,ShW2,R2
F,L3,D4,H2,WW3,SW2,VW3,ShW3,R2
F,L3,D4,H2,WW3,SW2,VW3,ShW2,R2
F,L3,D4,H2,WW3,SW3,VW2,ShW2,R2
F,L3,D4,H2,WW3,SW3,VW3,ShW3,R2
F,L3,D4,H2,WW3,SW3,VW3,ShW3,R2
M,L3,D4,H2,WW4,SW3,VW3,ShW4,R3
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R2
I,L1,D2,H1,WW1,SW1,VW1,ShW1,R1
I,L2,D2,H1,WW1,SW1,VW1,ShW1,R2
